estrategia;ano;temperatura_C;emissoes_Gt_ano;co2_acumulado_Gt;pac_em_caixa;pac_por_ano;nos_comprados;apoio_medio;comprou_no_ano
nada;2025;1,3700;40,753;0,0;0,0;10,0;0;50,00;
nada;2026;1,3884;41,132;40,9;10,0;10,0;0;48,50;
nada;2027;1,4070;41,515;82,2;20,0;10,0;0;46,94;
nada;2028;1,4258;41,901;123,9;30,0;10,0;0;45,38;
nada;2029;1,4447;42,290;166,0;40,0;10,0;0;43,88;
nada;2030;1,4638;42,684;208,5;50,0;10,0;0;42,38;
nada;2031;1,4831;43,081;251,3;60,0;10,0;0;40,81;
nada;2032;1,5026;43,481;294,6;70,0;10,0;0;39,31;
nada;2033;1,5222;43,886;338,3;79,5;10,0;0;37,59;
nada;2034;1,5421;44,294;382,3;89,0;10,0;0;35,88;
nada;2035;1,5621;44,706;426,8;98,5;10,0;0;34,22;
nada;2036;1,5823;45,121;471,7;108,5;10,0;0;32,72;
nada;2037;1,6027;45,541;517,0;117,0;10,0;0;30,75;
nada;2038;1,6232;45,965;562,8;127,0;10,0;0;29,19;
nada;2039;1,6440;46,392;608,9;137,0;10,0;0;27,69;
nada;2040;1,6650;46,824;655,5;146,0;10,0;0;26,09;
nada;2041;1,6861;47,259;702,5;155,5;10,0;0;25,03;
nada;2042;1,7075;47,700;750,0;164,5;10,0;0;24,75;
nada;2043;1,7291;48,145;797,9;172,0;10,0;0;24,40;
nada;2044;1,7508;48,595;846,3;181,0;10,0;0;24,14;
nada;2045;1,7728;49,049;895,1;190,5;10,0;0;23,97;
nada;2046;1,7949;49,508;944,3;200,5;10,0;0;23,96;
nada;2047;1,8173;49,972;994,0;209,5;10,0;0;23,63;
nada;2048;1,8399;50,441;1044,2;218,5;10,0;0;23,42;
nada;2049;1,8627;50,914;1094,9;227,0;10,0;0;23,06;
nada;2050;1,8857;51,393;1146,0;235,0;10,0;0;22,66;
nada;2051;1,9089;51,876;1197,6;244,5;10,0;0;22,48;
nada;2052;1,9324;52,365;1249,7;251,5;10,0;0;21,70;
nada;2053;1,9560;52,859;1302,3;260,0;10,0;0;21,45;
nada;2054;1,9799;53,358;1355,4;269,0;10,0;0;21,23;
nada;2055;2,0040;53,862;1409,0;278,5;10,0;0;20,91;
nada;2056;2,0284;54,372;1463,1;286,5;10,0;0;20,37;
nada;2057;2,0529;54,887;1517,7;296,0;10,0;0;20,17;
nada;2058;2,0778;55,407;1572,8;305,0;10,0;0;19,88;
nada;2059;2,1028;55,933;1628,4;313,0;10,0;0;19,46;
nada;2060;2,1281;56,464;1684,6;320,5;10,0;0;18,94;
nada;2061;2,1536;57,001;1741,3;328,0;10,0;0;18,36;
nada;2062;2,1793;57,544;1798,5;335,0;10,0;0;17,81;
nada;2063;2,2053;58,093;1856,3;343,5;10,0;0;17,53;
nada;2064;2,2316;58,647;1914,7;352,0;10,0;0;16,94;
nada;2065;2,2581;59,207;1973,6;361,0;10,0;0;16,44;
nada;2066;2,2849;59,773;2033,0;368,5;10,0;0;15,79;
nada;2067;2,3119;60,345;2093,1;376,5;10,0;0;15,10;
nada;2068;2,3391;60,923;2153,7;384,0;10,0;0;14,62;
nada;2069;2,3667;61,508;2214,8;393,0;10,0;0;14,30;
nada;2070;2,3945;62,098;2276,6;400,0;10,0;0;13,73;
nada;2071;2,4225;62,695;2339,0;406,5;10,0;0;12,87;
nada;2072;2,4509;63,298;2401,9;413,0;10,0;0;12,04;
nada;2073;2,4795;63,908;2465,5;419,5;10,0;0;11,21;
nada;2074;2,5084;64,524;2529,7;426,5;10,0;0;10,63;
nada;2075;2,5375;65,147;2594,5;433,0;10,0;0;9,57;
nada;2076;2,5670;65,777;2659,9;437,5;10,0;0;8,58;
nada;2077;2,5967;66,413;2726,0;445,0;10,0;0;8,10;
nada;2078;2,6267;67,056;2792,7;453,0;10,0;0;7,46;
nada;2079;2,6570;67,706;2860,0;459,0;10,0;0;6,66;
nada;2080;2,6876;68,363;2928,0;468,0;10,0;0;5,88;
nada;2081;2,7185;69,027;2996,6;474,5;10,0;0;5,43;
nada;2082;2,7497;69,698;3066,0;479,5;10,0;0;4,73;
nada;2083;2,7812;70,376;3136,0;486,0;10,0;0;4,16;
nada;2084;2,8130;71,062;3206,6;489,5;10,0;0;3,34;
nada;2085;2,8451;71,755;3278,0;496,0;10,0;0;3,05;
nada;2086;2,8775;72,456;3350,1;501,5;10,0;0;2,81;
nada;2087;2,9103;73,164;3422,8;508,5;10,0;0;2,50;
nada;2088;2,9433;73,880;3496,3;517,0;10,0;0;2,25;
nada;2089;2,9767;74,603;3570,5;520,5;10,0;0;1,94;
nada;2090;3,0104;75,335;3645,4;525,5;10,0;0;1,52;
nada;2091;3,0445;76,074;3721,1;532,5;10,0;0;1,32;
nada;2092;3,0789;76,821;3797,5;538,0;10,0;0;1,19;
nada;2093;3,1136;77,577;3874,6;542,0;10,0;0;1,06;
nada;2094;3,1486;78,340;3952,5;547,0;10,0;0;0,94;
nada;2095;3,1840;79,112;4031,2;553,5;10,0;0;0,71;
nada;2096;3,2198;79,893;4110,6;559,5;10,0;0;0,59;
nada;2097;3,2559;80,682;4190,9;566,0;10,0;0;0,49;
nada;2098;3,2924;81,479;4271,9;572,5;10,0;0;0,29;
nada;2099;3,3292;82,285;4353,7;579,5;10,0;0;0,15;
nada;2100;3,3664;83,100;4436,4;585,5;10,0;0;0,13;
melhor;2025;1,3700;40,753;0,0;0,0;10,0;0;50,00;
melhor;2026;1,3884;41,132;40,9;10,0;10,0;0;48,50;
melhor;2027;1,4070;41,515;82,2;20,0;10,0;0;46,94;
melhor;2028;1,4258;41,901;123,9;30,0;10,0;0;45,38;
melhor;2029;1,4447;42,290;166,0;0,0;10,0;1;43,88;solar
melhor;2030;1,4638;42,470;208,4;10,0;10,0;1;42,38;
melhor;2031;1,4829;42,651;250,9;20,0;10,0;1;40,81;
