ano;tensao_C;melhor_final_daqui_C;pior_final_daqui_C;melhor_medalha_possivel;pior_medalha_possivel;teto_de_quem_comeca_agora_C;comecar_agora_ja_perde;compras_no_ano
2025;0,8467;2,5197;3,3664;Bronze;nenhuma;2,5197;nao;0
2026;0,8467;2,5197;3,3664;Bronze;nenhuma;2,5197;nao;0
2027;0,8467;2,5197;3,3664;Bronze;nenhuma;2,5197;nao;0
2028;0,8467;2,5197;3,3664;Bronze;nenhuma;2,5197;nao;0
2029;0,8442;2,5197;3,3639;Bronze;nenhuma;2,5205;nao;1
2030;0,8442;2,5197;3,3639;Bronze;nenhuma;2,5246;nao;0
2031;0,8442;2,5197;3,3639;Bronze;nenhuma;2,5287;nao;0
2032;0,8442;2,5197;3,3639;Bronze;nenhuma;2,5326;nao;0
2033;0,5427;2,5197;3,0624;Bronze;nenhuma;2,5368;nao;1
2034;0,5427;2,5197;3,0624;Bronze;nenhuma;2,5451;nao;0
2035;0,5427;2,5197;3,0624;Bronze;nenhuma;2,5535;nao;0
2036;0,3634;2,5197;2,8831;Bronze;nenhuma;2,5615;nao;1
2037;0,3634;2,5197;2,8831;Bronze;nenhuma;2,5936;nao;0
2038;0,3634;2,5197;2,8831;Bronze;nenhuma;2,6024;nao;0
2039;0,3634;2,5197;2,8831;Bronze;nenhuma;2,6102;nao;0
2040;0,2575;2,5197;2,7772;Bronze;nenhuma;2,6188;nao;1
2041;0,2575;2,5197;2,7772;Bronze;nenhuma;2,6300;nao;0
2042;0,2575;2,5197;2,7772;Bronze;nenhuma;2,6403;nao;0
2043;0,1751;2,5197;2,6948;Bronze;nenhuma;2,6515;nao;1
2044;0,1751;2,5197;2,6948;Bronze;nenhuma;2,6625;nao;0
2045;0,1751;2,5197;2,6948;Bronze;nenhuma;2,6742;nao;0
2046;0,1751;2,5197;2,6948;Bronze;nenhuma;2,6877;nao;0
2047;0,1751;2,5197;2,6948;Bronze;nenhuma;2,7001;nao;0
2048;0,1751;2,5197;2,6948;Bronze;nenhuma;2,7131;nao;0
2049;0,1751;2,5197;2,6948;Bronze;nenhuma;2,7271;nao;0
2050;0,1715;2,5197;2,6912;Bronze;nenhuma;2,7418;nao;1
2051;0,1715;2,5197;2,6912;Bronze;nenhuma;2,7559;nao;0
2052;0,1715;2,5197;2,6912;Bronze;nenhuma;2,7701;nao;0
2053;0,1715;2,5197;2,6912;Bronze;nenhuma;2,7843;nao;0
2054;0,1715;2,5197;2,6912;Bronze;nenhuma;2,7995;nao;0
2055;0,1022;2,5197;2,6219;Bronze;nenhuma;2,8153;nao;1
2056;0,1022;2,5197;2,6219;Bronze;nenhuma;2,8312;nao;0
2057;0,1022;2,5197;2,6219;Bronze;nenhuma;2,8457;nao;0
2058;0,1022;2,5197;2,6219;Bronze;nenhuma;2,8615;nao;0
2059;0,1022;2,5197;2,6219;Bronze;nenhuma;2,8764;nao;0
2060;0,0534;2,5197;2,5732;Bronze;nenhuma;2,8912;nao;1
2061;0,0534;2,5197;2,5732;Bronze;nenhuma;2,9071;nao;0
2062;0,0534;2,5197;2,5732;Bronze;nenhuma;2,9221;nao;0
2063;0,0534;2,5197;2,5732;Bronze;nenhuma;2,9395;nao;0
2064;0,0534;2,5197;2,5732;Bronze;nenhuma;2,9561;nao;0
2065;0,0280;2,5197;2,5477;Bronze;Bronze;2,9724;nao;1
2066;0,0280;2,5197;2,5477;Bronze;Bronze;2,9887;nao;0
2067;0,0280;2,5197;2,5477;Bronze;Bronze;3,0047;sim;0
2068;0,0280;2,5197;2,5477;Bronze;Bronze;3,0206;sim;0
2069;0,0280;2,5197;2,5477;Bronze;Bronze;3,0360;sim;0
2070;0,0134;2,5197;2,5331;Bronze;Bronze;3,0518;sim;1
2071;0,0134;2,5197;2,5331;Bronze;Bronze;3,0677;sim;0
2072;0,0134;2,5197;2,5331;Bronze;Bronze;3,0844;sim;0
2073;0,0134;2,5197;2,5331;Bronze;Bronze;3,1009;sim;0
2074;0,0134;2,5197;2,5331;Bronze;Bronze;3,1166;sim;0
2075;0,0123;2,5197;2,5320;Bronze;Bronze;3,1326;sim;0
2076;0,0123;2,5197;2,5320;Bronze;Bronze;3,1478;sim;0
2077;0,0123;2,5197;2,5320;Bronze;Bronze;3,1624;sim;0
2078;0,0049;2,5197;2,5246;Bronze;Bronze;3,1766;sim;1
2079;0,0049;2,5197;2,5246;Bronze;Bronze;3,1910;sim;0
2080;0,0049;2,5197;2,5246;Bronze;Bronze;3,2046;sim;0
2081;0,0042;2,5197;2,5239;Bronze;Bronze;3,2183;sim;0
2082;0,0042;2,5197;2,5239;Bronze;Bronze;3,2322;sim;0
2083;0,0042;2,5197;2,5239;Bronze;Bronze;3,2455;sim;0
2084;0,0042;2,5197;2,5239;Bronze;Bronze;3,2583;sim;0
2085;0,0010;2,5197;2,5207;Bronze;Bronze;3,2705;sim;1
2086;0,0010;2,5197;2,5207;Bronze;Bronze;3,2820;sim;0
2087;0,0010;2,5197;2,5207;Bronze;Bronze;3,2930;sim;0
2088;0,0007;2,5197;2,5204;Bronze;Bronze;3,3033;sim;0
2089;0,0007;2,5197;2,5204;Bronze;Bronze;3,3128;sim;0
2090;0,0007;2,5197;2,5204;Bronze;Bronze;3,3218;sim;0
2091;0,0007;2,5197;2,5204;Bronze;Bronze;3,3302;sim;0
2092;0,0001;2,5197;2,5198;Bronze;Bronze;3,3376;sim;1
2093;0,0001;2,5197;2,5198;Bronze;Bronze;3,3443;sim;0
2094;0,0000;2,5197;2,5197;Bronze;Bronze;3,3504;sim;0
2095;0,0000;2,5197;2,5197;Bronze;Bronze;3,3556;sim;0
2096;0,0000;2,5197;2,5197;Bronze;Bronze;3,3598;sim;0
2097;0,0000;2,5197;2,5197;Bronze;Bronze;3,3630;sim;0
2098;0,0000;2,5197;2,5197;Bronze;Bronze;3,3652;sim;0
2099;0,0000;2,5197;2,5197;Bronze;Bronze;3,3662;sim;0
2100;0,0000;2,5197;2,5197;Bronze;Bronze;3,3664;sim;0
